ID	X	Y	#SampleID	BarcodePlate	BarcodeWell	Compare	Description	Diet	Experiment	cluster	id	subject_id,,
10	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.00549450549451	['Sean099' 'Sean149' 'Sean104' 'Sean154' 'Sean193' 'Sean243' 'Sean198']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['A03' 'E05' 'A08' 'E10' 'A01' 'E03' 'A06']	['Harlan' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL']	['Sean099' 'Sean149' 'Sean104' 'Sean154' 'Sean193' 'Sean243' 'Sean198']	HCEL	MOT	1	10	{'3a'},,
11	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0137931034483	['Sean111' 'Sean161' 'Sean116' 'Sean166' 'Sean205' 'Sean255' 'Sean210']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['B03' 'F05' 'B08' 'F10' 'B01' 'F03' 'B06']	['Harlan' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL']	['Sean111' 'Sean161' 'Sean116' 'Sean166' 'Sean205' 'Sean255' 'Sean210']	HCEL	MOT	1	11	{'3b'},,
12	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	['Sean123' 'Sean173' 'Sean128' 'Sean178' 'Sean217' 'Sean267' 'Sean222']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['C03' 'G05' 'C08' 'G10' 'C01' 'G03' 'C06']	['Harlan' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL']	['Sean123' 'Sean173' 'Sean128' 'Sean178' 'Sean217' 'Sean267' 'Sean222']	HCEL	MOT	0	12	{'3c'},,
13	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.015625	['Sean135' 'Sean185' 'Sean140' 'Sean190' 'Sean229' 'Sean279' 'Sean234']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['D03' 'H05' 'D08' 'H10' 'D01' 'H03' 'D06']	['Harlan' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL']	['Sean135' 'Sean185' 'Sean140' 'Sean190' 'Sean229' 'Sean279' 'Sean234']	HCEL	MOT	1	13	{'3d'},,
14	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,3.75756209371e-05	['Sean147' 'Sean102' 'Sean152' 'Sean107' 'Sean241' 'Sean196' 'Sean246']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['E03' 'A06' 'E08' 'A11' 'E01' 'A04' 'E06']	['Harlan' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL']	['Sean147' 'Sean102' 'Sean152' 'Sean107' 'Sean241' 'Sean196' 'Sean246']	HCEL	MOT	1	14	{'3e'},,
15	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	['Sean159' 'Sean114' 'Sean164' 'Sean119' 'Sean253' 'Sean208' 'Sean258']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['F03' 'B06' 'F08' 'B11' 'F01' 'B04' 'F06']	['Harlan' 'HPSY' 'HPSY' 'HPSY' 'HPSY' 'HPSY' 'HPSY']	['Sean159' 'Sean114' 'Sean164' 'Sean119' 'Sean253' 'Sean208' 'Sean258']	HPSY	MOT	0	15	{'4a'},,
16	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	['Sean171' 'Sean126' 'Sean176' 'Sean131' 'Sean265' 'Sean220' 'Sean270']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['G03' 'C06' 'G08' 'C11' 'G01' 'C04' 'G06']	['Harlan' 'HPSY' 'HPSY' 'HPSY' 'HPSY' 'HPSY' 'HPSY']	['Sean171' 'Sean126' 'Sean176' 'Sean131' 'Sean265' 'Sean220' 'Sean270']	HPSY	MOT	0	16	{'4b'},,
17	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	['Sean183' 'Sean138' 'Sean188' 'Sean143' 'Sean277' 'Sean232' 'Sean282']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['H03' 'D06' 'H08' 'D11' 'H01' 'D04' 'H06']	['Harlan' 'HPSY' 'HPSY' 'HPSY' 'HPSY' 'HPSY' 'HPSY']	['Sean183' 'Sean138' 'Sean188' 'Sean143' 'Sean277' 'Sean232' 'Sean282']	HPSY	MOT	0	17	{'4c'},,
18	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	['Sean100' 'Sean150' 'Sean105' 'Sean155' 'Sean194' 'Sean244' 'Sean199']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['A04' 'E06' 'A09' 'E11' 'A02' 'E04' 'A07']	['Harlan' 'HPSY' 'HPSY' 'HPSY' 'HPSY' 'HPSY' 'HPSY']	['Sean100' 'Sean150' 'Sean105' 'Sean155' 'Sean194' 'Sean244' 'Sean199']	HPSY	MOT	0	18	{'4d'},,
19	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	['Sean112' 'Sean162' 'Sean117' 'Sean167' 'Sean206' 'Sean256' 'Sean211']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['B04' 'F06' 'B09' 'F11' 'B02' 'F04' 'B07']	['Harlan' 'HPSY' 'HPSY' 'HPSY' 'HPSY' 'HPSY' 'HPSY']	['Sean112' 'Sean162' 'Sean117' 'Sean167' 'Sean206' 'Sean256' 'Sean211']	HPSY	MOT	0	19	{'4e'}
