index	num_classes	function_combo	noise_level	seed	dataset_path
26	3	exponential-hyperbolic-norm	0.08	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-norm.200reps.5.tsv
27	3	exponential-hyperbolic-norm	0.08	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-norm.200reps.6.tsv
28	3	exponential-hyperbolic-norm	0.08	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-norm.200reps.7.tsv
29	3	exponential-hyperbolic-norm	0.08	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-norm.200reps.8.tsv
30	3	exponential-hyperbolic-norm	0.08	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-norm.200reps.9.tsv
31	3	exponential-hyperbolic-norm	0.12	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-norm.200reps.0.tsv
32	3	exponential-hyperbolic-norm	0.12	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-norm.200reps.1.tsv
33	3	exponential-hyperbolic-norm	0.12	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-norm.200reps.2.tsv
34	3	exponential-hyperbolic-norm	0.12	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-norm.200reps.3.tsv
35	3	exponential-hyperbolic-norm	0.12	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-norm.200reps.4.tsv
36	3	exponential-hyperbolic-norm	0.12	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-norm.200reps.5.tsv
37	3	exponential-hyperbolic-norm	0.12	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-norm.200reps.6.tsv
38	3	exponential-hyperbolic-norm	0.12	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-norm.200reps.7.tsv
39	3	exponential-hyperbolic-norm	0.12	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-norm.200reps.8.tsv
40	3	exponential-hyperbolic-norm	0.12	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-norm.200reps.9.tsv
41	3	exponential-hyperbolic-norm	0.16	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-norm.200reps.0.tsv
42	3	exponential-hyperbolic-norm	0.16	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-norm.200reps.1.tsv
43	3	exponential-hyperbolic-norm	0.16	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-norm.200reps.2.tsv
44	3	exponential-hyperbolic-norm	0.16	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-norm.200reps.3.tsv
45	3	exponential-hyperbolic-norm	0.16	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-norm.200reps.4.tsv
46	3	exponential-hyperbolic-norm	0.16	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-norm.200reps.5.tsv
47	3	exponential-hyperbolic-norm	0.16	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-norm.200reps.6.tsv
48	3	exponential-hyperbolic-norm	0.16	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-norm.200reps.7.tsv
49	3	exponential-hyperbolic-norm	0.16	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-norm.200reps.8.tsv
50	3	exponential-hyperbolic-norm	0.16	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-norm.200reps.9.tsv
51	3	exponential-hyperbolic-norm	0.2	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-norm.200reps.0.tsv
52	3	exponential-hyperbolic-norm	0.2	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-norm.200reps.1.tsv
53	3	exponential-hyperbolic-norm	0.2	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-norm.200reps.2.tsv
54	3	exponential-hyperbolic-norm	0.2	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-norm.200reps.3.tsv
55	3	exponential-hyperbolic-norm	0.2	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-norm.200reps.4.tsv
56	3	exponential-hyperbolic-norm	0.2	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-norm.200reps.5.tsv
57	3	exponential-hyperbolic-norm	0.2	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-norm.200reps.6.tsv
58	3	exponential-hyperbolic-norm	0.2	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-norm.200reps.7.tsv
59	3	exponential-hyperbolic-norm	0.2	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-norm.200reps.8.tsv
60	3	exponential-hyperbolic-norm	0.2	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-norm.200reps.9.tsv
61	3	exponential-hyperbolic-sin	0.0	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-sin.200reps.0.tsv
62	3	exponential-hyperbolic-sin	0.0	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-sin.200reps.1.tsv
63	3	exponential-hyperbolic-sin	0.0	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-sin.200reps.2.tsv
64	3	exponential-hyperbolic-sin	0.0	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-sin.200reps.3.tsv
65	3	exponential-hyperbolic-sin	0.0	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-sin.200reps.4.tsv
66	3	exponential-hyperbolic-sin	0.0	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-sin.200reps.5.tsv
67	3	exponential-hyperbolic-sin	0.0	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-sin.200reps.6.tsv
68	3	exponential-hyperbolic-sin	0.0	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-sin.200reps.7.tsv
69	3	exponential-hyperbolic-sin	0.0	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-sin.200reps.8.tsv
70	3	exponential-hyperbolic-sin	0.0	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-sin.200reps.9.tsv
71	3	exponential-hyperbolic-sin	0.04	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-sin.200reps.0.tsv
72	3	exponential-hyperbolic-sin	0.04	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-sin.200reps.1.tsv
73	3	exponential-hyperbolic-sin	0.04	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-sin.200reps.2.tsv
74	3	exponential-hyperbolic-sin	0.04	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-sin.200reps.3.tsv
75	3	exponential-hyperbolic-sin	0.04	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-sin.200reps.4.tsv
76	3	exponential-hyperbolic-sin	0.04	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-sin.200reps.5.tsv
77	3	exponential-hyperbolic-sin	0.04	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-sin.200reps.6.tsv
78	3	exponential-hyperbolic-sin	0.04	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-sin.200reps.7.tsv
79	3	exponential-hyperbolic-sin	0.04	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-sin.200reps.8.tsv
80	3	exponential-hyperbolic-sin	0.04	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-sin.200reps.9.tsv
81	3	exponential-hyperbolic-sin	0.08	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-sin.200reps.0.tsv
82	3	exponential-hyperbolic-sin	0.08	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-sin.200reps.1.tsv
83	3	exponential-hyperbolic-sin	0.08	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-sin.200reps.2.tsv
84	3	exponential-hyperbolic-sin	0.08	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-sin.200reps.3.tsv
85	3	exponential-hyperbolic-sin	0.08	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-sin.200reps.4.tsv
86	3	exponential-hyperbolic-sin	0.08	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-sin.200reps.5.tsv
87	3	exponential-hyperbolic-sin	0.08	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-sin.200reps.6.tsv
88	3	exponential-hyperbolic-sin	0.08	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-sin.200reps.7.tsv
89	3	exponential-hyperbolic-sin	0.08	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-sin.200reps.8.tsv
90	3	exponential-hyperbolic-sin	0.08	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-sin.200reps.9.tsv
91	3	exponential-hyperbolic-sin	0.12	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-sin.200reps.0.tsv
92	3	exponential-hyperbolic-sin	0.12	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-sin.200reps.1.tsv
93	3	exponential-hyperbolic-sin	0.12	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-sin.200reps.2.tsv
94	3	exponential-hyperbolic-sin	0.12	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-sin.200reps.3.tsv
95	3	exponential-hyperbolic-sin	0.12	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-sin.200reps.4.tsv
96	3	exponential-hyperbolic-sin	0.12	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-sin.200reps.5.tsv
97	3	exponential-hyperbolic-sin	0.12	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-sin.200reps.6.tsv
98	3	exponential-hyperbolic-sin	0.12	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-sin.200reps.7.tsv
99	3	exponential-hyperbolic-sin	0.12	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-sin.200reps.8.tsv
100	3	exponential-hyperbolic-sin	0.12	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.12noise.exponential-hyperbolic-sin.200reps.9.tsv
101	3	exponential-hyperbolic-sin	0.16	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-sin.200reps.0.tsv
102	3	exponential-hyperbolic-sin	0.16	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-sin.200reps.1.tsv
103	3	exponential-hyperbolic-sin	0.16	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-sin.200reps.2.tsv
104	3	exponential-hyperbolic-sin	0.16	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-sin.200reps.3.tsv
105	3	exponential-hyperbolic-sin	0.16	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-sin.200reps.4.tsv
106	3	exponential-hyperbolic-sin	0.16	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-sin.200reps.5.tsv
107	3	exponential-hyperbolic-sin	0.16	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-sin.200reps.6.tsv
108	3	exponential-hyperbolic-sin	0.16	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-sin.200reps.7.tsv
109	3	exponential-hyperbolic-sin	0.16	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-sin.200reps.8.tsv
110	3	exponential-hyperbolic-sin	0.16	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.16noise.exponential-hyperbolic-sin.200reps.9.tsv
111	3	exponential-hyperbolic-sin	0.2	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-sin.200reps.0.tsv
112	3	exponential-hyperbolic-sin	0.2	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-sin.200reps.1.tsv
113	3	exponential-hyperbolic-sin	0.2	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-sin.200reps.2.tsv
114	3	exponential-hyperbolic-sin	0.2	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-sin.200reps.3.tsv
115	3	exponential-hyperbolic-sin	0.2	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-sin.200reps.4.tsv
116	3	exponential-hyperbolic-sin	0.2	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-sin.200reps.5.tsv
117	3	exponential-hyperbolic-sin	0.2	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-sin.200reps.6.tsv
118	3	exponential-hyperbolic-sin	0.2	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-sin.200reps.7.tsv
119	3	exponential-hyperbolic-sin	0.2	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-sin.200reps.8.tsv
120	3	exponential-hyperbolic-sin	0.2	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.2noise.exponential-hyperbolic-sin.200reps.9.tsv
121	3	exponential-norm-tan	0.0	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-norm-tan.200reps.0.tsv
122	3	exponential-norm-tan	0.0	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-norm-tan.200reps.1.tsv
123	3	exponential-norm-tan	0.0	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-norm-tan.200reps.2.tsv
124	3	exponential-norm-tan	0.0	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-norm-tan.200reps.3.tsv
125	3	exponential-norm-tan	0.0	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-norm-tan.200reps.4.tsv
126	3	exponential-norm-tan	0.0	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-norm-tan.200reps.5.tsv
127	3	exponential-norm-tan	0.0	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-norm-tan.200reps.6.tsv
128	3	exponential-norm-tan	0.0	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-norm-tan.200reps.7.tsv
129	3	exponential-norm-tan	0.0	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-norm-tan.200reps.8.tsv
130	3	exponential-norm-tan	0.0	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-norm-tan.200reps.9.tsv
131	3	exponential-norm-tan	0.04	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-norm-tan.200reps.0.tsv
132	3	exponential-norm-tan	0.04	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-norm-tan.200reps.1.tsv
133	3	exponential-norm-tan	0.04	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-norm-tan.200reps.2.tsv
134	3	exponential-norm-tan	0.04	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-norm-tan.200reps.3.tsv
135	3	exponential-norm-tan	0.04	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-norm-tan.200reps.4.tsv
136	3	exponential-norm-tan	0.04	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-norm-tan.200reps.5.tsv
137	3	exponential-norm-tan	0.04	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-norm-tan.200reps.6.tsv
138	3	exponential-norm-tan	0.04	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-norm-tan.200reps.7.tsv
139	3	exponential-norm-tan	0.04	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-norm-tan.200reps.8.tsv
140	3	exponential-norm-tan	0.04	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-norm-tan.200reps.9.tsv
141	3	exponential-norm-tan	0.08	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-norm-tan.200reps.0.tsv
